U,n,merge,count,radix
4,32768,0.16491007804870605,0.003765106201171875,0.0586240291595459
4,65536,0.35048604011535645,0.007271766662597656,0.1245718002319336
4,131072,0.8078038692474365,0.016950130462646484,0.4436519145965576
4,262144,1.653595209121704,0.047991037368774414,1.0146031379699707
4,524288,3.4525928497314453,0.10194778442382812,2.1060779094696045
8,2,1.3113021850585938e-05,6.198883056640625e-06,3.0994415283203125e-05
8,4,9.059906005859375e-06,4.0531158447265625e-06,2.4080276489257812e-05
8,8,1.9073486328125e-05,4.0531158447265625e-06,2.1219253540039062e-05
8,16,4.601478576660156e-05,5.0067901611328125e-06,3.695487976074219e-05
8,32,0.00010418891906738281,8.821487426757812e-06,9.202957153320312e-05
8,64,0.00023508071899414062,1.430511474609375e-05,0.0001728534698486328
8,128,0.0005319118499755859,2.7179718017578125e-05,0.0002777576446533203
8,256,0.0011630058288574219,4.76837158203125e-05,0.0006072521209716797
8,512,0.002529144287109375,8.988380432128906e-05,0.0012731552124023438
8,1024,0.005525112152099609,0.0002090930938720703,0.002391815185546875
8,2048,0.01168680191040039,0.0003528594970703125,0.00494384765625
8,4096,0.025186777114868164,0.0005791187286376953,0.00867009162902832
8,8192,0.04093217849731445,0.0009338855743408203,0.013976097106933594
8,16384,0.08097481727600098,0.0017800331115722656,0.02775716781616211
8,32768,0.171295166015625,0.0038824081420898438,0.0628056526184082
8,65536,0.3727388381958008,0.008127927780151367,0.13397932052612305
8,131072,0.7810139656066895,0.01808476448059082,0.4630401134490967
8,262144,1.6390628814697266,0.05218100547790527,1.0805339813232422
8,524288,3.625154972076416,0.12272214889526367,2.281702995300293
16,2,1.2159347534179688e-05,6.9141387939453125e-06,4.100799560546875e-05
16,4,8.821487426757812e-06,3.814697265625e-06,2.7179718017578125e-05
16,8,2.002716064453125e-05,4.76837158203125e-06,4.220008850097656e-05
16,16,4.601478576660156e-05,7.152557373046875e-06,3.981590270996094e-05
16,32,0.000102996826171875,1.0013580322265625e-05,6.890296936035156e-05
16,64,0.00023508071899414062,1.5735626220703125e-05,0.00015997886657714844
16,128,0.0005280971527099609,2.5987625122070312e-05,0.0002620220184326172
16,256,0.0011188983917236328,4.7206878662109375e-05,0.0005829334259033203
16,512,0.002446889877319336,8.296966552734375e-05,0.0011782646179199219
16,1024,0.004981040954589844,0.00016999244689941406,0.0019502639770507812
16,2048,0.009777069091796875,0.0002949237823486328,0.004069805145263672
16,4096,0.020743131637573242,0.0005998611450195312,0.0072650909423828125
16,8192,0.03815197944641113,0.0009279251098632812,0.014715194702148438
16,16384,0.08073592185974121,0.0017931461334228516,0.027554035186767578
16,32768,0.1726362705230713,0.003648996353149414,0.06183910369873047
16,65536,0.3669111728668213,0.007837057113647461,0.1431138515472412
16,131072,0.7987918853759766,0.018579959869384766,0.46449708938598633
16,262144,1.6580920219421387,0.05498790740966797,1.1344211101531982
16,524288,3.5717389583587646,0.12560367584228516,2.2966880798339844
32,2,1.2159347534179688e-05,8.821487426757812e-06,4.9114227294921875e-05
32,4,9.059906005859375e-06,6.9141387939453125e-06,3.910064697265625e-05
32,8,2.0265579223632812e-05,6.9141387939453125e-06,4.291534423828125e-05
32,16,4.601478576660156e-05,9.059906005859375e-06,7.891654968261719e-05
32,32,0.00010275840759277344,1.1920928955078125e-05,7.605552673339844e-05
32,64,0.00023412704467773438,1.811981201171875e-05,0.00016069412231445312
32,128,0.0005266666412353516,3.0994415283203125e-05,0.0002753734588623047
32,256,0.0011649131774902344,5.078315734863281e-05,0.0006110668182373047
32,512,0.0024662017822265625,9.179115295410156e-05,0.0012249946594238281
32,1024,0.005037069320678711,0.0001499652862548828,0.0019948482513427734
32,2048,0.009801149368286133,0.0002849102020263672,0.004105091094970703
32,4096,0.020490169525146484,0.0005209445953369141,0.007047176361083984
32,8192,0.03785991668701172,0.0009431838989257812,0.015326976776123047
32,16384,0.08064579963684082,0.0018928050994873047,0.028315305709838867
32,32768,0.1730649471282959,0.003854990005493164,0.06101512908935547
32,65536,0.3658261299133301,0.007444143295288086,0.13619494438171387
